,ts_start,p_open,p_high,p_low,p_close,volume,ts_end,q_a_v,no_trades,volume_t,q_a_v_t,ignore
27,2021-09-03 21:00:00.000,721.33,721.33,708.24,708.29,74.7523,2021-09-03 21:59:59.999,53356.0157,322,39.68526000,28320.1393,0
28,2021-09-03 22:00:00.000,707.62,712.07,704.85,711.34,102.30284,2021-09-03 22:59:59.999,72606.7254,334,77.01566000,54711.4796,0
29,2021-09-03 23:00:00.000,711.9,712.76,709.06,711.3,92.95091,2021-09-03 23:59:59.999,65996.9706,116,16.75759000,11921.8434,0
30,2021-09-04 00:00:00.000,710.16,712.27,705.5,706.2,166.97449,2021-09-04 00:59:59.999,118252.0018,177,27.13127000,19224.0503,0
31,2021-09-04 01:00:00.000,706.28,706.84,703.86,706.71,44.30586,2021-09-04 01:59:59.999,31274.5427,139,24.17413000,17063.8488,0
32,2021-09-04 02:00:00.000,706.99,708.28,704.16,705.97,167.50238,2021-09-04 02:59:59.999,118520.1758,119,138.01192000,97715.1238,0
33,2021-09-04 03:00:00.000,704.98,707.62,701.1,701.97,107.00272,2021-09-04 03:59:59.999,75230.6988,241,14.44542000,10163.6409,0
34,2021-09-04 04:00:00.000,702.14,717.6,696.66,715.47,950.4275,2021-09-04 04:59:59.999,674629.0278,1053,392.68540000,278637.2736,0
35,2021-09-04 05:00:00.000,715.11,735.31,711.63,724.92,1858.02042,2021-09-04 05:59:59.999,1349143.9525,2054,1086.49594000,788394.7612,0
36,2021-09-04 06:00:00.000,726.33,730.76,706.22,706.22,614.33004,2021-09-04 06:59:59.999,442665.3575,899,206.15108000,148523.1956,0
37,2021-09-04 07:00:00.000,706.57,710.57,704.08,706.1,268.93804,2021-09-04 07:59:59.999,190156.3078,400,144.85700000,102362.3251,0
38,2021-09-04 08:00:00.000,705.75,716.07,705.74,709.52,172.32581,2021-09-04 08:59:59.999,122650.2414,338,69.93050000,49702.2619,0
39,2021-09-04 09:00:00.000,710.01,713.28,709.26,711.27,60.03798,2021-09-04 09:59:59.999,42679.8707,156,44.29265000,31480.7476,0
40,2021-09-04 10:00:00.000,710.09,710.09,704.31,709.11,233.04727,2021-09-04 10:59:59.999,164410.0337,340,196.20955000,138394.8816,0
41,2021-09-04 11:00:00.000,709.53,711.38,705.18,707.77,208.74303,2021-09-04 11:59:59.999,148030.7645,226,40.40863000,28652.1544,0
42,2021-09-04 12:00:00.000,708.51,712.63,704.22,706.54,106.01632,2021-09-04 12:59:59.999,75256.4063,303,45.24546000,32113.3901,0
43,2021-09-04 13:00:00.000,706.45,708.64,698.52,708.64,227.85631,2021-09-04 13:59:59.999,159868.1908,511,69.56893000,48885.2344,0
44,2021-09-04 14:00:00.000,708.9,711.47,705.96,705.96,34.1685,2021-09-04 14:59:59.999,24256.2976,85,17.02560000,12098.5157,0
45,2021-09-04 15:00:00.000,706.29,707.71,703.86,707.51,150.86297,2021-09-04 15:59:59.999,106458.6217,134,86.29768000,60932.4773,0
46,2021-09-04 16:00:00.000,707.78,711.65,707.78,709.43,35.97452,2021-09-04 16:59:59.999,25530.0338,101,6.68771000,4744.5125,0
47,2021-09-04 17:00:00.000,710.94,712.27,709.44,710.76,11.13806,2021-09-04 17:59:59.999,7918.8865,76,6.57342000,4674.1252,0
48,2021-09-04 18:00:00.000,711.35,712.84,707.67,712.09,94.6672,2021-09-04 18:59:59.999,67321.8419,283,50.23870000,35719.0334,0
49,2021-09-04 19:00:00.000,711.54,713.55,708.41,708.66,95.30782,2021-09-04 19:59:59.999,67764.6767,163,73.85022000,52523.9450,0
50,2021-09-04 20:00:00.000,709.55,713.85,705.0,712.48,98.49799,2021-09-04 20:59:59.999,69761.2853,197,47.37557000,33541.4667,0
51,2021-09-04 21:00:00.000,713.77,714.66,705.98,709.01,143.41877,2021-09-04 21:59:59.999,101636.2588,192,24.13451000,17163.9506,0
52,2021-09-04 22:00:00.000,708.15,710.66,707.13,708.61,35.05724,2021-09-04 22:59:59.999,24846.3689,104,16.50618000,11711.0419,0
53,2021-09-04 23:00:00.000,708.3,708.48,700.98,701.62,138.32857,2021-09-04 23:59:59.999,97266.3117,188,82.47165000,58053.1757,0
54,2021-09-05 00:00:00.000,700.74,704.34,700.54,703.23,27.23759,2021-09-05 00:59:59.999,19151.7438,135,22.47029000,15798.9361,0
55,2021-09-05 01:00:00.000,703.35,704.21,701.29,702.61,10.17592,2021-09-05 01:59:59.999,7153.7168,59,6.61040000,4646.9417,0
56,2021-09-05 02:00:00.000,701.67,705.85,698.85,703.45,93.55975,2021-09-05 02:59:59.999,65822.2229,134,78.87180000,55497.0293,0
57,2021-09-05 03:00:00.000,703.72,707.26,703.72,705.07,24.47231,2021-09-05 03:59:59.999,17252.7381,57,4.61268000,3259.3123,0
58,2021-09-05 04:00:00.000,704.39,710.91,703.6,710.6,197.42734,2021-09-05 04:59:59.999,139922.8196,176,138.85864000,98551.2701,0
59,2021-09-05 05:00:00.000,710.86,711.5,708.83,710.65,17.22143,2021-09-05 05:59:59.999,12236.4419,96,8.55050000,6073.6819,0
60,2021-09-05 06:00:00.000,709.63,712.86,707.62,708.29,15.60227,2021-09-05 06:59:59.999,11086.3298,91,11.76552000,8360.4179,0
61,2021-09-05 07:00:00.000,708.41,712.25,705.97,711.63,143.73517,2021-09-05 07:59:59.999,101544.9480,101,12.91077000,9152.3865,0
62,2021-09-05 08:00:00.000,711.46,717.08,710.03,716.79,116.03622,2021-09-05 08:59:59.999,82975.2780,268,78.29757000,56022.0220,0
63,2021-09-05 09:00:00.000,717.29,730.79,715.92,730.6,1360.49319,2021-09-05 09:59:59.999,987343.1670,1309,772.81742000,561116.1420,0
64,2021-09-05 10:00:00.000,730.51,733.05,722.03,726.94,356.12953,2021-09-05 10:59:59.999,258900.7257,501,212.94615000,154854.5367,0
65,2021-09-05 11:00:00.000,726.88,734.21,722.25,728.35,707.11092,2021-09-05 11:59:59.999,516299.7273,634,248.63806000,181070.5467,0
